Buprenorphine	4	4	4	4	4	5	4	5	4	6	4	3	3	3	3	5	4	4	4	3	3	3	3	4	4	7	5	4	5	6	3	3	3	3	3	5	3	5	4	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
DAMGO	4	3	3	3	3	5	4	4	4	7	4	3	3	3	3	13	4	4	5	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Endomorphine1	4	4	4	4	4	11	4	4	4	7	4	3	3	3	3	9	4	4	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Fentanyl	4	4	4	4	4	11	4	4	4	7	4	3	3	3	3	7	4	4	5	4	4	3	3	5	5	16	5	4	5	5	3	3	3	3	3	1	4	5	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Loperamide	4	3	3	3	3	5	4	4	4	7	4	6	3	6	6	12	4	4	5	7	3	3	3	4	4	16	5	4	5	5	3	3	3	3	3	3	4	5	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Meptazinol	4	4	4	4	4	5	4	4	4	7	4	3	3	15	3	9	9	4	5	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Met-Enk	18	16	16	16	16	29	20	21	21	20	18	15	15	3	15	31	22	16	18	44	16	18	18	15	15	37	22	22	25	17	18	15	14	15	15	31	21	21	21	18	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Morphine	4	3	3	3	3	5	4	4	6	7	4	3	3	3	3	9	4	4	8	7	3	3	3	4	4	16	5	4	5	6	3	7	6	6	6	7	4	5	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Oxycodone	4	7	7	7	7	5	4	5	4	7	4	6	6	3	6	7	4	4	4	5	3	3	3	4	4	16	5	4	5	4	3	3	3	3	3	3	4	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Tramadol	4	4	4	3	4	10	4	5	4	5	4	3	3	3	3	9	5	4	8	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 1	5	3	3	3	3	5	6	5	4	5	3	3	3	3	3	5	4	4	6	1	3	3	3	4	4	6	5	4	5	6	3	3	3	3	3	3	4	5	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 3	5	3	3	3	3	10	6	5	4	6	3	3	3	3	3	8	4	4	3	6	3	3	3	3	3	7	5	7	5	9	3	3	3	3	3	5	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 4	5	3	3	3	3	5	4	5	4	5	3	3	3	3	3	5	4	4	5	6	3	3	3	3	3	7	5	7	5	5	3	3	3	3	3	9	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 5	4	3	3	3	3	6	4	7	6	4	4	3	3	3	3	12	5	4	4	8	3	3	3	3	3	7	3	4	6	5	3	3	3	3	3	7	9	4	7	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 6	5	6	6	6	6	6	4	4	4	4	3	3	3	3	3	5	5	4	6	3	3	3	3	3	3	7	3	4	4	4	3	3	3	3	3	8	4	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 7	4	6	6	6	6	6	4	4	4	5	4	6	6	6	6	9	4	4	4	6	3	3	3	3	3	7	3	4	4	4	3	3	3	3	3	2	9	4	7	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 8	5	6	6	6	6	6	4	4	4	6	3	3	3	3	3	4	4	4	4	4	3	3	3	3	3	7	3	4	6	4	3	3	3	3	3	6	8	3	7	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 9	2	3	3	3	3	6	4	4	4	4	2	3	3	3	3	6	9	4	4	5	3	3	3	3	3	7	3	4	4	4	3	4	3	3	3	2	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 10	5	6	6	6	6	6	4	4	4	6	3	3	3	3	3	4	8	4	4	4	3	3	6	5	6	7	3	4	4	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 11	3	4	4	4	4	7	6	5	4	7	5	3	3	3	3	3	4	4	4	4	3	3	3	3	3	5	4	3	4	3	3	3	3	3	3	5	7	3	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 12	3	4	4	4	4	7	6	5	4	5	5	6	6	6	6	3	4	4	4	4	3	3	3	3	3	6	4	3	6	4	3	3	3	3	3	5	4	3	6	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 13	3	4	4	4	4	7	6	5	5	7	5	3	3	3	3	5	4	4	4	4	3	3	3	3	3	5	4	3	6	4	3	7	6	6	6	5	3	3	6	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 14	3	4	4	4	4	7	6	5	4	5	5	3	3	3	3	6	4	4	6	4	3	3	3	3	3	6	3	3	3	3	3	3	3	3	3	5	4	3	6	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 15	3	4	4	4	4	7	6	5	4	5	5	3	3	3	3	6	8	4	7	5	3	3	3	3	3	7	4	3	6	5	3	3	3	3	3	4	3	3	6	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Cmp 16	3	4	4	4	4	12	6	5	4	5	5	3	6	3	6	8	8	4	4	4	3	3	3	3	3	7	4	3	6	3	3	3	3	3	3	3	4	3	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
