Buprenorphine	3	3	3	4	4	7	5	4	5	6
Fentanyl	4	3	3	5	5	16	5	4	5	5
Loperamide	3	3	3	4	4	16	5	4	5	5
Met-Enk	16	18	18	15	15	37	22	22	25	17
Morphine	3	3	3	4	4	16	5	4	5	6
Oxycodone	3	3	3	4	4	16	5	4	5	4
Cmp 1	3	3	3	4	4	6	5	4	5	6
Cmp 3	3	3	3	3	3	7	5	7	5	9
Cmp 4	3	3	3	3	3	7	5	7	5	5
Cmp 5	3	3	3	3	3	7	3	4	6	5
Cmp 6	3	3	3	3	3	7	3	4	4	4
Cmp 7	3	3	3	3	3	7	3	4	4	4
Cmp 8	3	3	3	3	3	7	3	4	6	4
Cmp 9	3	3	3	3	3	7	3	4	4	4
Cmp 10	3	3	6	5	6	7	3	4	4	4
Cmp 11	3	3	3	3	3	5	4	3	4	3
Cmp 12	3	3	3	3	3	6	4	3	6	4
Cmp 13	3	3	3	3	3	5	4	3	6	4
Cmp 14	3	3	3	3	3	6	5	5	5	5
Cmp 15	3	3	3	3	3	7	4	3	6	5
Cmp 16	3	3	3	3	3	7	4	3	6	3
